#ITER     #MEDIA_BFO        #MEDIA_M
764           4677.38         4838.9
765           4677.38         4838.9
766           4677.38         4838.9
767           4677.38         4838.9
768           4677.38         4838.9
769           4677.38         4838.9
770           4677.38         4838.9
771           4677.38         4838.9
772           4677.38         4838.9
773           4677.38         4838.9
774           4677.38         4838.9
775           4677.38         4838.9
776           4677.38         4838.9
777           4677.38         4838.9
778           4677.38         4838.9
779           4677.37        4838.89
780           4677.37        4838.89
781           4677.37        4838.89
782           4677.37        4838.89
783           4677.37        4838.89
784           4677.37        4838.89
785           4677.37        4838.89
786           4677.37        4838.89
787           4677.37        4838.89
788           4677.37        4838.89
789           4677.37        4838.89
790           4677.37        4838.88
791           4677.37        4838.88
792           4677.37        4838.88
793           4677.37        4838.88
794           4677.37        4838.88
795           4677.37        4838.88
796           4677.37        4838.88
797           4677.37        4838.88
798           4677.37        4838.88
799           4677.37        4838.88
800           4677.37        4838.88
801           4677.37        4838.87
802           4677.37        4838.87
803           4677.37        4838.87
804           4677.37        4838.87
805           4677.37        4838.87
806           4677.37        4838.87
807           4677.37        4838.87
808           4677.37        4838.87
809           4677.37        4838.86
810           4677.37        4838.86
811           4677.37        4838.86
812           4677.37        4838.86
813           4677.37        4838.85
814           4677.37        4838.85
815           4677.37        4838.85
816           4677.37        4838.85
817           4677.37        4838.85
818           4677.37        4838.85
819           4677.37        4838.85
820           4677.37        4838.85
821           4677.37        4838.85
822           4677.36        4838.85
823           4677.36        4838.84
824           4677.36        4838.84
825           4677.36        4838.84
826           4677.36        4838.84
827           4677.36        4838.84
828           4677.36        4838.84
829           4677.36        4838.84
830           4677.36        4838.84
831           4677.36        4838.84
832           4677.36        4838.84
833           4677.36        4838.84
834           4677.36        4838.84
835           4677.36        4838.84
836           4677.36        4838.84
837           4677.36        4838.83
838           4677.36        4838.83
839           4677.36        4838.83
840           4677.36        4838.83
841           4677.36        4838.83
842           4677.36        4838.83
843           4677.36        4838.83
844           4677.36        4838.83
845           4677.36        4838.83
846           4677.36        4838.83
847           4677.36        4838.83
848           4677.36        4838.83
849           4677.36        4838.83
850           4677.36        4838.83
851           4677.36        4838.83
852           4677.36        4838.83
853           4677.36        4838.83
854           4677.36        4838.83
855           4677.36        4838.83
856           4677.36        4838.83
857           4677.36        4838.83
858           4677.36        4838.83
859           4677.36        4838.83
860           4677.36        4838.83
861           4677.36        4838.83
862           4677.36        4838.83
863           4677.36        4838.83
864           4677.36        4838.82
865           4677.36        4838.82
866           4677.36        4838.82
867           4677.36        4838.82
868           4677.36        4838.82
869           4677.36        4838.82
870           4677.36        4838.82
871           4677.36        4838.82
872           4677.36        4838.82
873           4677.36        4838.82
874           4677.35        4838.82
875           4677.35        4838.82
876           4677.35        4838.82
877           4677.35        4838.82
878           4677.35        4838.82
879           4677.35        4838.82
880           4677.35        4838.82
881           4677.35        4838.81
882           4677.35        4838.81
883           4677.35        4838.81
884           4677.35        4838.81
885           4677.35        4838.81
886           4677.35        4838.81
887           4677.35        4838.81
888           4677.35        4838.81
889           4677.35        4838.81
890           4677.35         4838.8
891           4677.35         4838.8
892           4677.35         4838.8
893           4677.35         4838.8
894           4677.35         4838.8
895           4677.35         4838.8
896           4677.35         4838.8
897           4677.35         4838.8
898           4677.35         4838.8
899           4677.35         4838.8
900           4677.35         4838.8
901           4677.35         4838.8
902           4677.35        4838.79
903           4677.35        4838.79
904           4677.35        4838.79
905           4677.35        4838.79
906           4677.35        4838.79
907           4677.35        4838.79
908           4677.35        4838.79
909           4677.35        4838.79
910           4677.34        4838.79
911           4677.34        4838.79
912           4677.34        4838.79
913           4677.34        4838.79
914           4677.34        4838.79
915           4677.34        4838.79
916           4677.34        4838.79
917           4677.34        4838.79
918           4677.34        4838.79
919           4677.34        4838.79
920           4677.34        4838.78
921           4677.34        4838.78
922           4677.34        4838.78
923           4677.34        4838.78
924           4677.34        4838.78
925           4677.34        4838.78
926           4677.34        4838.78
927           4677.34        4838.78
928           4677.34        4838.78
929           4677.34        4838.78
930           4677.34        4838.78
931           4677.34        4838.78
932           4677.34        4838.78
933           4677.34        4838.78
934           4677.34        4838.78
935           4677.34        4838.78
936           4677.34        4838.78
937           4677.34        4838.78
938           4677.34        4838.78
939           4677.34        4838.78
940           4677.34        4838.77
941           4677.34        4838.77
942           4677.34        4838.77
